                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1781,                 4.5931,                 2.2824,                0.00706,                0.16667,                0.01792,                 0.0031,                 2.6199,                  6.195,                 3.3258,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.9077,                 3.8093,                 2.0011,                0.98338,                0.33333,                0.37614,                0.10078,                  1.804,                 6.3703,                  2.255,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 1.1769,                 2.6878,                 1.4031,                0.78992,                0.49604,                0.64339,                0.38647,                 1.1904,                 4.7945,                 1.5915,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                0.79759,                 2.0312,                 1.1182,                 0.5143,                0.63097,                0.61356,                0.47349,                0.91755,                 3.4018,                 1.4009,             0.00010976,             0.00010976,             0.00010976
                      5,                0.77591,                 1.7882,                 1.1021,                0.72518,                0.69549,                 0.9125,                0.69412,                0.70614,                 6.1204,                 1.1809,             0.00013815,             0.00013815,             0.00013815
                      6,                0.58969,                 1.3477,                0.95395,                0.65451,                0.83333,                0.77555,                0.64747,                0.72087,                 6.2561,                 1.2638,             0.00016522,             0.00016522,             0.00016522
                      7,                0.48627,                 1.1777,                0.93122,                0.59266,                0.83333,                0.84815,                0.62415,                0.70151,                 13.751,                 1.2339,             0.00019096,             0.00019096,             0.00019096
                      8,                0.59467,                 1.2149,                0.91524,                 0.6589,                0.83333,                0.87208,                0.70648,                0.70605,                 8.7917,                 1.5081,             0.00021539,             0.00021539,             0.00021539
                      9,                 0.5135,                 1.0052,                0.90769,                0.69737,                0.83333,                0.95375,                0.68443,                0.73065,                 6.6956,                 1.4986,              0.0002385,              0.0002385,              0.0002385
                     10,                0.53674,                0.92096,                0.92483,                0.85033,                      1,                0.95375,                 0.7889,                 0.6317,                 3.0924,                 1.1194,             0.00026029,             0.00026029,             0.00026029
                     11,                0.57236,                0.99073,                0.91542,                0.61013,                      1,                  0.995,                0.80786,                 0.5564,                 4.1487,                  1.034,             0.00028076,             0.00028076,             0.00028076
                     12,                0.56248,                0.90877,                0.91356,                0.56191,                      1,                  0.995,                0.86365,                0.57273,                 4.5176,                 1.0623,              0.0002999,              0.0002999,              0.0002999
                     13,                0.56603,                0.88034,                0.92754,                0.76618,                0.83333,                0.87125,                0.76227,                0.66172,                 3.1911,                  1.085,             0.00031773,             0.00031773,             0.00031773
                     14,                0.47057,                0.74172,                0.91358,                0.73179,                      1,                0.95375,                0.79653,                0.52314,                 4.0306,                0.98837,             0.00033424,             0.00033424,             0.00033424
