                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7809,                 5.0642,                 2.2072,                  0.002,                    0.6,                 0.0024,                0.00056,                 3.0187,                 4.9072,                 2.3278,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6341,                 4.5839,                 2.2065,                0.00333,                      1,                0.00698,                0.00251,                 2.6549,                 4.6169,                 1.9529,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      3,                 2.1271,                 4.3876,                 1.7302,                0.00333,                      1,                0.00911,                0.00478,                 1.9886,                 4.3196,                  1.464,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      4,                 1.5176,                 3.6596,                 1.4326,                0.00333,                      1,                0.01045,                0.00647,                  1.502,                 4.0869,                 1.2723,             0.00013958,             0.00013958,             0.00013958
                      5,                  1.335,                 3.0955,                 1.2923,                0.00333,                      1,                0.01052,                0.00827,                 1.1966,                 3.9442,                 1.1046,             0.00017929,             0.00017929,             0.00017929
                      6,                 1.3357,                 2.1427,                 1.1491,                0.00333,                      1,                0.01093,                0.00773,                   1.39,                 3.9594,                 1.1582,             0.00021891,             0.00021891,             0.00021891
                      7,                 1.2818,                 2.1619,                 1.0983,                0.00333,                      1,                0.01065,                0.00601,                 1.5769,                 3.9431,                 1.2494,             0.00025846,             0.00025846,             0.00025846
                      8,                 1.0923,                 1.5576,                 1.0576,                0.00333,                      1,                0.01054,                0.00613,                 1.4922,                 3.5532,                   1.14,             0.00029792,             0.00029792,             0.00029792
                      9,                 1.1153,                 1.7815,                 1.0369,                0.00333,                      1,                0.01052,                0.00593,                 1.4034,                  3.463,                 1.1864,             0.00033731,             0.00033731,             0.00033731
                     10,                 1.0333,                 1.5811,                 1.0112,                0.00333,                      1,                0.01047,                0.00516,                    1.5,                 3.4656,                 1.2058,             0.00037661,             0.00037661,             0.00037661
                     11,                 1.1516,                 1.6418,                 1.0452,                0.00333,                      1,                0.01101,                0.00549,                 1.5091,                 3.4897,                 1.2321,             0.00041584,             0.00041584,             0.00041584
                     12,                 1.1095,                 1.5764,                 1.0548,                0.00333,                      1,                0.01106,                0.00703,                 1.4013,                 3.4798,                 1.1897,             0.00045499,             0.00045499,             0.00045499
                     13,                 1.0695,                 1.3417,                0.99379,                0.00333,                      1,                 0.0111,                0.00796,                 1.1334,                 3.3728,                 1.0768,             0.00049406,             0.00049406,             0.00049406
                     14,                0.96826,                 1.4388,                0.99452,                0.00333,                      1,                0.01091,                0.00691,                 1.0509,                 3.4562,                  1.139,             0.00053305,             0.00053305,             0.00053305
                     15,                 0.9788,                 1.3104,                0.94307,                0.00333,                      1,                0.01036,                0.00615,                 1.1836,                 3.4671,                 1.1965,             0.00057196,             0.00057196,             0.00057196
                     16,                0.99523,                 1.2817,                0.96788,                0.00333,                      1,                 0.0097,                0.00647,                 1.1016,                 3.3155,                 1.0829,             0.00061079,             0.00061079,             0.00061079
                     17,                0.96559,                 1.3581,                 1.0335,                0.00333,                      1,                0.01218,                0.00827,                 1.2299,                 3.3785,                 1.0753,             0.00064955,             0.00064955,             0.00064955
                     18,                0.95201,                  1.356,                 1.0093,                0.00333,                      1,                0.03516,                0.03029,                0.92608,                 3.2892,                  0.976,             0.00068822,             0.00068822,             0.00068822
                     19,                 1.0121,                 1.1988,                 0.9509,                0.00333,                      1,                0.01066,                0.00781,                0.83468,                 3.2134,                0.94873,             0.00072681,             0.00072681,             0.00072681
                     20,                0.81903,                  1.242,                0.96104,                0.00333,                      1,                0.00855,                0.00622,                0.95548,                 3.2342,                 0.9883,             0.00076533,             0.00076533,             0.00076533
                     21,                0.83397,                 1.2582,                0.96074,                0.00333,                      1,                0.00842,                0.00583,                 1.0878,                 3.2205,                 1.0417,             0.00080376,             0.00080376,             0.00080376
                     22,                 1.0287,                 1.3589,                 1.0172,                0.00333,                      1,                0.00797,                0.00543,                 1.1945,                 3.2046,                 1.0985,             0.00084212,             0.00084212,             0.00084212
                     23,                0.72595,                 1.0642,                0.88936,                0.00333,                      1,                0.00795,                0.00589,                0.97902,                 3.2167,                 1.0107,              0.0008804,              0.0008804,              0.0008804
                     24,                0.88756,                 1.0656,                0.91862,                0.00333,                      1,                0.00773,                0.00533,                0.99315,                 3.2666,                0.99526,              0.0009186,              0.0009186,              0.0009186
                     25,                0.80686,                 1.0279,                  0.946,                0.00333,                      1,                0.06969,                0.05576,                0.88594,                 3.1442,                0.94211,             0.00095672,             0.00095672,             0.00095672
                     26,                0.82262,                 1.0781,                0.95892,                0.00333,                      1,                0.69224,                0.48882,                0.95787,                 2.9497,                0.93779,             0.00099475,             0.00099475,             0.00099475
                     27,                0.97265,                 1.1847,                0.97529,                0.00333,                      1,                0.38126,                0.27485,                 1.0028,                 2.9037,                0.95586,              0.0010327,              0.0010327,              0.0010327
                     28,                0.78528,                 1.0625,                0.90275,                0.00333,                      1,                0.38126,                0.27485,                 1.0028,                 2.9037,                0.95586,              0.0010706,              0.0010706,              0.0010706
                     29,                0.94759,                 1.2045,                0.98965,                0.00333,                      1,                0.41691,                0.29317,                  1.273,                 3.1936,                 1.0509,              0.0011084,              0.0011084,              0.0011084
                     30,                0.90778,                 1.2646,                0.93802,                0.00333,                      1,                0.77886,                0.41149,                 1.4867,                 3.0976,                 1.2479,              0.0011461,              0.0011461,              0.0011461
                     31,                0.78879,                  1.046,                  0.939,                0.00333,                      1,                0.77886,                0.41149,                 1.4867,                 3.0976,                 1.2479,              0.0011838,              0.0011838,              0.0011838
