                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2055,                 5.5731,                 1.6844,                0.00129,                0.30952,                0.00092,                0.00024,                 2.3782,                 5.2766,                 1.7832,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.7977,                 5.1052,                 1.4468,                0.00227,                0.71429,                0.00289,                0.00137,                 1.6775,                 4.5787,                 1.2724,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.3682,                 4.0221,                 1.1388,                0.00397,                      1,                0.00568,                0.00306,                 1.0578,                 4.2216,                0.98207,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.2956,                 3.2202,                 1.0994,                0.00391,                      1,                0.00612,                0.00431,                0.98157,                 4.0061,                0.88892,             0.00017792,             0.00017792,             0.00017792
                      5,                 1.0961,                 2.6507,                0.98158,                0.00405,                      1,                0.00624,                0.00438,                0.90768,                 3.8839,                0.83252,             0.00022414,             0.00022414,             0.00022414
                      6,                 1.0525,                 2.2529,                0.97897,                0.00416,                      1,                0.00627,                0.00459,                0.80283,                 3.8515,                0.81645,             0.00026936,             0.00026936,             0.00026936
                      7,                 1.0986,                 2.0152,                0.97336,                0.00427,                      1,                0.00638,                 0.0048,                0.75272,                 3.8145,                 0.8197,              0.0003136,              0.0003136,              0.0003136
                      8,                 1.0714,                 1.9285,                0.96303,                0.00433,                      1,                0.00641,                0.00524,                0.75344,                 3.7775,                0.81441,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.0223,                 1.7852,                0.95203,                0.00431,                      1,                0.00645,                0.00476,                0.93151,                 3.7528,                0.83989,             0.00039909,             0.00039909,             0.00039909
                     10,                0.98585,                 1.5185,                 0.9609,                0.00418,                      1,                0.00618,                 0.0044,                0.85433,                 3.7526,                0.83631,             0.00044036,             0.00044036,             0.00044036
                     11,                0.99517,                  1.598,                0.98251,                0.00396,                      1,                0.00547,                0.00386,                0.89708,                 3.7466,                0.84461,             0.00048063,             0.00048063,             0.00048063
                     12,                0.95246,                 1.4612,                0.94774,                0.00379,                      1,                0.00513,                0.00363,                0.86163,                 3.7696,                0.83796,             0.00051991,             0.00051991,             0.00051991
                     13,                0.85668,                 1.4249,                0.91315,                0.00366,                      1,                0.00947,                0.00751,                 1.0042,                 3.7578,                0.87713,              0.0005582,              0.0005582,              0.0005582
                     14,                0.96493,                 1.4761,                0.95919,                0.00372,                      1,                0.08635,                 0.0689,                 1.0184,                  3.706,                0.88121,             0.00059551,             0.00059551,             0.00059551
                     15,                0.85785,                 1.5217,                0.90762,                0.00358,                      1,                0.18459,                0.14295,                0.87759,                 3.5629,                0.86314,             0.00063182,             0.00063182,             0.00063182
                     16,                0.83686,                 1.4233,                0.93753,                 0.0035,                      1,                0.55867,                0.49305,                0.97168,                 3.4836,                0.88813,             0.00066714,             0.00066714,             0.00066714
                     17,                0.86835,                 1.3462,                0.91154,                0.00333,                      1,                0.51083,                0.39212,                 1.0547,                 3.4794,                0.88171,             0.00070147,             0.00070147,             0.00070147
                     18,                0.85086,                 1.4561,                0.91277,                0.00328,                      1,                0.71302,                0.54232,                0.97491,                    3.4,                0.86128,             0.00073482,             0.00073482,             0.00073482
                     19,                0.85274,                 1.2443,                 0.9204,                0.00327,                      1,                0.76115,                0.59964,                0.91664,                 3.3829,                0.87004,             0.00076717,             0.00076717,             0.00076717
                     20,                 0.8819,                 1.2449,                0.91071,                0.00325,                      1,                0.80569,                0.62179,                0.95228,                 3.3163,                0.88488,             0.00079853,             0.00079853,             0.00079853
                     21,                0.87944,                 1.2018,                0.90675,                0.00324,                      1,                0.78755,                 0.6243,                 1.0028,                 3.3209,                0.92079,              0.0008289,              0.0008289,              0.0008289
                     22,                0.85748,                 1.2579,                0.92626,                0.00325,                      1,                0.73276,                0.60367,                 1.0356,                 3.2686,                0.90512,             0.00085828,             0.00085828,             0.00085828
                     23,                 0.8288,                 1.2319,                0.89274,                0.82718,                0.78571,                0.79308,                0.62866,                0.90992,                 3.0652,                 0.8708,             0.00088667,             0.00088667,             0.00088667
                     24,                0.86183,                 1.3686,                0.91943,                0.93823,                0.62439,                0.94833,                0.75637,                0.82099,                  2.931,                0.84643,             0.00091407,             0.00091407,             0.00091407
                     25,                  0.895,                 1.2568,                0.91837,                 0.9037,                0.75999,                0.98625,                0.75587,                 0.8869,                 2.8207,                0.87287,             0.00094048,             0.00094048,             0.00094048
                     26,                0.83193,                 1.2041,                0.91144,                      1,                0.13223,                0.98625,                0.78183,                0.90482,                 2.6957,                0.87456,              0.0009659,              0.0009659,              0.0009659
                     27,                0.77619,                 1.1276,                0.88879,                0.98126,                0.66071,                0.98625,                 0.7806,                0.91536,                 2.5449,                0.86987,             0.00099033,             0.00099033,             0.00099033
                     28,                0.82784,                 1.2423,                0.91748,                0.92492,                0.65032,                  0.995,                0.76033,                0.91617,                 2.5263,                0.86101,              0.0010138,              0.0010138,              0.0010138
                     29,                0.73783,                 1.2028,                0.89941,                0.92492,                0.65032,                  0.995,                0.76033,                0.91617,                 2.5263,                0.86101,              0.0010362,              0.0010362,              0.0010362
                     30,                0.68417,                 1.1432,                0.86434,                0.95853,                0.64448,                  0.995,                0.78081,                0.90051,                 2.4478,                0.90003,              0.0010577,              0.0010577,              0.0010577
                     31,                0.78977,                 1.1539,                0.91838,                      1,                0.82934,                  0.995,                0.80587,                 0.8133,                 2.3586,                0.89538,              0.0010781,              0.0010781,              0.0010781
                     32,                0.78353,                 1.0999,                0.89785,                      1,                0.90849,                  0.995,                0.81728,                0.80836,                 2.2274,                0.89442,              0.0010976,              0.0010976,              0.0010976
                     33,                0.82941,                 1.1574,                0.91088,                      1,                0.90849,                  0.995,                0.81728,                0.80836,                 2.2274,                0.89442,              0.0011161,              0.0011161,              0.0011161
                     34,                0.79684,                   1.16,                0.90048,                 0.8778,                0.87921,                  0.995,                0.82703,                0.77073,                 2.0935,                0.87196,              0.0011224,              0.0011224,              0.0011224
                     35,                0.75047,                 1.0926,                0.87278,                0.88152,                0.93272,                  0.995,                0.82812,                0.78569,                 1.7088,                0.87958,              0.0011059,              0.0011059,              0.0011059
                     36,                0.77044,                 1.0132,                0.86461,                0.88738,                      1,                  0.995,                0.84039,                0.77114,                 1.5415,                0.88241,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73414,                 1.0319,                0.87499,                0.88738,                      1,                  0.995,                0.84039,                0.77114,                 1.5415,                0.88241,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74128,                 1.1947,                0.90939,                0.87551,                      1,                  0.995,                0.83175,                0.79062,                 1.7042,                0.88459,              0.0010564,              0.0010564,              0.0010564
                     39,                0.63442,                 1.0759,                0.86681,                 0.8761,                0.94966,                  0.995,                0.81422,                0.85361,                 1.6128,                0.88933,              0.0010399,              0.0010399,              0.0010399
