                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4088,                 4.6643,                 2.2471,                0.00267,                    0.8,                0.00337,                0.00115,                 2.9757,                 4.6811,                 2.7155,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.8245,                 4.7743,                 2.5124,                0.00333,                      1,                0.00768,                0.00248,                 2.4175,                 4.5984,                 2.2297,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 2.0381,                  4.299,                 1.8807,                0.00333,                      1,                0.00987,                0.00401,                 1.9569,                 4.3415,                 1.9024,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.5724,                 3.7465,                  1.551,                0.00333,                      1,                0.01424,                0.00621,                 1.8354,                  3.898,                 1.6301,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.5398,                 3.3628,                 1.5862,                0.00333,                      1,                0.01882,                0.00998,                 1.5199,                 3.7628,                 1.4857,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.3485,                 2.5594,                  1.472,                0.00333,                      1,                0.14227,                0.06375,                 1.3222,                 3.5773,                 1.2743,             0.00019822,             0.00019822,             0.00019822
                      7,                 1.3317,                 2.8093,                 1.4184,                0.00333,                      1,                0.26352,                0.21117,                 1.1465,                 3.4221,                 1.0408,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.1435,                 2.0856,                 1.2723,                0.00333,                      1,                0.37571,                0.22973,                 1.0558,                 3.3532,                 1.0363,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.1079,                 1.9151,                 1.1777,                0.00333,                      1,                0.50536,                 0.3293,                0.98967,                 3.3337,                 1.0254,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.1052,                 1.9962,                 1.1677,                0.00333,                      1,                0.54536,                0.31961,                 1.0148,                 3.3891,                 1.0578,             0.00031228,             0.00031228,             0.00031228
                     11,                 1.2113,                 1.8176,                 1.1826,                0.00333,                      1,                 0.6134,                0.36248,                0.97608,                 3.3689,                 1.0553,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.3811,                 1.9962,                 1.2622,                0.00333,                      1,                0.61714,                0.34412,                0.97407,                 3.2705,                 1.0295,             0.00035981,             0.00035981,             0.00035981
                     13,                  1.077,                 1.4918,                 1.0833,                0.00333,                      1,                 0.5316,                0.32628,                0.88543,                 3.2648,                 1.0253,              0.0003812,              0.0003812,              0.0003812
                     14,                0.85389,                 1.4579,                0.99259,                0.00333,                      1,                0.40553,                0.24209,                0.98133,                 3.2453,                 1.0029,               0.000401,               0.000401,               0.000401
                     15,                0.87428,                 1.3773,                0.99978,                0.00333,                      1,                0.27042,                0.11404,                0.97559,                 3.2023,                 1.0001,             0.00041922,             0.00041922,             0.00041922
                     16,                0.94298,                 1.3331,                 1.0448,                0.00333,                      1,                0.12252,                0.07309,                0.87601,                 3.1719,                0.98937,             0.00043586,             0.00043586,             0.00043586
                     17,                0.80177,                 1.2582,                0.98967,                0.00333,                      1,                0.13076,                0.07927,                0.84907,                 3.1683,                0.96159,             0.00045091,             0.00045091,             0.00045091
                     18,                0.83343,                 1.2907,                0.97587,                0.00333,                      1,                 0.1315,                0.10539,                0.78336,                 3.1262,                0.96171,             0.00046438,             0.00046438,             0.00046438
                     19,                0.96599,                 1.3714,                 1.0421,                0.00333,                      1,                0.08861,                0.06982,                0.93233,                 3.1599,                 1.0421,             0.00047626,             0.00047626,             0.00047626
                     20,                0.94902,                  1.229,                 1.1015,                0.00333,                      1,                0.13758,                0.08059,                0.99544,                 3.0952,                 1.0916,             0.00048656,             0.00048656,             0.00048656
                     21,                0.94762,                 1.2699,                 1.1434,                0.00333,                      1,                0.15971,                0.11748,                0.93187,                 3.0995,                  1.065,             0.00049528,             0.00049528,             0.00049528
